Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_10_qualimap_bamqc | Albuquerque_14_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_10_merged_sorted_dupsMarked.bam	7527708.0	7371352.0	822927631.0	821644752.0	28075.0367	111.0	11.1493	0.019	0.8947	97.92292687229633
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_14_qualimap_bamqc | Albuquerque_14_14	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_14_merged_sorted_dupsMarked.bam	6817133.0	6655410.0	838947918.0	837331915.0	50319.8597	137.0	12.5761	0.0192	0.9121	97.6276977433182
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_17_qualimap_bamqc | Albuquerque_14_17	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_17_merged_sorted_dupsMarked.bam	4608071.0	4553696.0	623773085.0	622289978.0	102258.421	159.0	13.0849	0.0215	0.6781	98.82000516051076
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_18_qualimap_bamqc | Albuquerque_14_18	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_18_merged_sorted_dupsMarked.bam	3200407.0	3067253.0	408177211.0	407311056.0	150665.1547	170.0	11.8007	0.0206	0.4438	95.83946666783318
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_1_qualimap_bamqc | Albuquerque_14_1	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_1_merged_sorted_dupsMarked.bam	10883478.0	10457066.0	1348396870.0	1345959999.0	56453.8563	135.0	12.9329	0.0207	1.4659	96.08202451458992
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_3_qualimap_bamqc | Albuquerque_14_3	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_3_merged_sorted_dupsMarked.bam	5130194.0	5042708.0	679619176.0	678130525.0	74799.4122	154.0	12.5897	0.0197	0.7389	98.2946843725598
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_4_qualimap_bamqc | Albuquerque_14_4	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_4_merged_sorted_dupsMarked.bam	3351251.0	3297456.0	431785786.0	430906400.0	63097.157	141.0	11.8965	0.0202	0.4694	98.39477854687698
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_5_qualimap_bamqc | Albuquerque_14_5	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_5_merged_sorted_dupsMarked.bam	238917.0	227021.0	27738296.0	27685493.0	73584.6905	129.0	5.9013	0.0213	0.0302	95.0208649865853
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_7_qualimap_bamqc | Albuquerque_14_7	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_7_merged_sorted_dupsMarked.bam	4150089.0	3985976.0	537121857.0	535896699.0	158550.2906	164.0	11.7307	0.0196	0.5839	96.0455546856947
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_14_8_qualimap_bamqc | Albuquerque_14_8	/home/santang3/scratch/glue/results/bam/final/Albuquerque_14_8_merged_sorted_dupsMarked.bam	7175876.0	6957244.0	859970199.0	858555285.0	28548.5302	127.0	12.1342	0.0159	0.9349	96.95323609270841
home | santang3 | scratch | glue | results | qc | qualimap | Albuquerque_15_10_qualimap_bamqc | Albuquerque_15_10	/home/santang3/scratch/glue/results/bam/final/Albuquerque_15_10_merged_sorted_dupsMarked.bam	8670876.0	8151589.0	1051547556.0	1049282108.0	123435.605	148.0	12.5936	0.0192	1.1432	94.0111356684146
